task,family,position,detail,verdict
t1-0,proof_byte,23552,xor01_from253,VERIFY_REJECTED
t1-0,proof_byte,23616,xor01_from124,VERIFY_REJECTED
t1-0,proof_byte,23680,xor01_from182,VERIFY_REJECTED
t1-0,proof_byte,23744,xor01_from210,VERIFY_REJECTED
t1-0,proof_byte,23808,xor01_from19,VERIFY_REJECTED
t1-0,proof_byte,23872,xor01_from38,VERIFY_REJECTED
t1-0,proof_byte,23936,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,24000,xor01_from124,VERIFY_REJECTED
t1-0,proof_byte,24064,xor01_from207,VERIFY_REJECTED
t1-0,proof_byte,24128,xor01_from124,VERIFY_REJECTED
t1-0,proof_byte,24192,xor01_from170,VERIFY_REJECTED
t1-0,proof_byte,24256,xor01_from171,VERIFY_REJECTED
t1-0,proof_byte,24320,xor01_from16,VERIFY_REJECTED
t1-0,proof_byte,24384,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,24448,xor01_from245,VERIFY_REJECTED
t1-0,proof_byte,24512,xor01_from83,VERIFY_REJECTED
t1-0,proof_byte,24576,xor01_from170,VERIFY_REJECTED
t1-0,proof_byte,24640,xor01_from123,VERIFY_REJECTED
t1-0,proof_byte,24704,xor01_from190,VERIFY_REJECTED
t1-0,proof_byte,24768,xor01_from58,VERIFY_REJECTED
t1-0,proof_byte,24832,xor01_from74,VERIFY_REJECTED
t1-0,proof_byte,24896,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,24960,xor01_from57,VERIFY_REJECTED
t1-0,proof_byte,25024,xor01_from193,VERIFY_REJECTED
t1-0,proof_byte,25088,xor01_from123,VERIFY_REJECTED
t1-0,proof_byte,25152,xor01_from139,VERIFY_REJECTED
t1-0,proof_byte,25216,xor01_from44,VERIFY_REJECTED
t1-0,proof_byte,25280,xor01_from195,VERIFY_REJECTED
t1-0,proof_byte,25344,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,25408,xor01_from128,VERIFY_REJECTED
t1-0,proof_byte,25472,xor01_from105,VERIFY_REJECTED
t1-0,proof_byte,25536,xor01_from113,VERIFY_REJECTED
t1-0,proof_byte,25600,xor01_from254,VERIFY_REJECTED
t1-0,proof_byte,25664,xor01_from229,VERIFY_REJECTED
t1-0,proof_byte,25728,xor01_from155,VERIFY_REJECTED
t1-0,proof_byte,25792,xor01_from28,VERIFY_REJECTED
t1-0,proof_byte,25856,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,25920,xor01_from209,VERIFY_REJECTED
t1-0,proof_byte,25984,xor01_from236,VERIFY_REJECTED
t1-0,proof_byte,26048,xor01_from47,VERIFY_REJECTED
t1-0,proof_byte,26112,xor01_from178,VERIFY_REJECTED
t1-0,proof_byte,26176,xor01_from175,VERIFY_REJECTED
t1-0,proof_byte,26240,xor01_from249,VERIFY_REJECTED
t1-0,proof_byte,26304,xor01_from0,DESERIALIZE_REJECTED
t1-0,proof_byte,26368,xor01_from64,VERIFY_REJECTED
t1-0,proof_byte,26432,xor01_from121,VERIFY_REJECTED
