size,log_inv_rate,rep,span,bucket,subbucket,self_nanos,hits
2048,1,4,"FRI Round Fold",d,d_fri_codeword_fold,999,2
2048,1,4,"e001_sumcheck_fold",a,a_sumcheck_fold,16521511,473
2048,1,4,"[phase] Shift Reduction",d,d_phase_glue,23624,1
2048,1,4,"Build embedding table",d,d_column_assembly,334042,1
2048,1,4,"logup* (committed)",d,d_phase_glue,5751,1
2048,1,4,"Expand evaluation suffix query",d,d_tensor_expand,5833,2
2048,1,4,"FRI Initial Fold",d,d_fri_codeword_fold,663458,1
2048,1,4,"Fold index columns by rho",a,a_sumcheck_fold,3138000,1
2048,1,4,"Compute ring-switching equality indicator",d,d_ring_switch,1259958,2
2048,1,4,"[phase] BitAnd check",d,d_phase_glue,4917,1
2048,1,4,"shift_operator_table",d,d_shift_multilinear_build,46541,2
2048,1,4,"Batched constant-base prodcheck",d,d_prodcheck,7710164,1
2048,1,4,"prover_phase_1",d,d_phase_glue,3583,1
2048,1,4,"Commit pushforwards",d,d_phase_glue,1416,1
2048,1,4,"MLE-check remaining rounds",a,a_sumcheck_driver,9374,1
2048,1,4,"Compute univariate LDE table",a,a_univariate_round,65333,1
2048,1,4,"Compute ring-switching partial evaluations",d,d_ring_switch,2012208,2
2048,1,4,"[phase] IntMul check",d,d_phase_glue,637998,1
2048,1,4,"FRI Fold",d,d_fri_codeword_fold,2834,2
2048,1,4,"e001_sumcheck_execute",a,a_sumcheck_round_poly,136038759,473
2048,1,4,"Prove",d,d_prove_root,253250,1
2048,1,4,"fold_codeword",d,d_fri_codeword_fold,167125,2
2048,1,4,"Assemble columns",d,d_column_assembly,5557833,2
2048,1,4,"Build IntMul witness",d,d_witness_prep,5084,1
2048,1,4,"logup* reduction",d,d_phase_glue,8916,1
2048,1,4,"Commit witness",d,d_commit_glue,1959,1
2048,1,4,"Open pushforward relations",d,d_phase_glue,117792,1
2048,1,4,"fri::FRIQueryProver::prove_queries",d,d_pcs_query_open,118791,1
2048,1,4,"[phase] PCS Opening",d,d_phase_glue,6667,1
2048,1,4,"Basefold MLE-check ZK (batched)",a,a_sumcheck_driver,549544,1
2048,1,4,"Compute variable-base prodcheck layers",d,d_prodcheck,58998583,1
2048,1,4,"fri::FRIFolder::finalize",d,d_fri_finalize,166,1
2048,1,4,"Reed-Solomon encode",d,d_ntt_encode,5971499,2
2048,1,4,"Compute univariate round message",a,a_univariate_round,2726209,1
2048,1,4,"Reduce linear relations to committed openings",d,d_basefold_glue,14375,1
2048,1,4,"IntMul phase2 (Frobenius twist)",d,d_intmul_phase2,47584,1
2048,1,4,"Compute base layer partial evals",d,d_prodcheck,5775583,1
2048,1,4,"build_monster_segments",d,d_shift_multilinear_build,8050541,1
2048,1,4,"Build logup* witnesses",d,d_witness_prep,7836041,1
2048,1,4,"run_sumcheck",a,a_sumcheck_driver,2092421,2
2048,1,4,"Merkle Tree",b1,b1_merkle_commit_glue,2542,3
2048,1,4,"Fold univariate round",a,a_sumcheck_fold,893375,1
2048,1,4,"Compute fixed-base prodcheck layers",d,d_prodcheck,10518916,1
2048,1,4,"Gather lookup index columns",d,d_column_assembly,348250,1
2048,1,4,"logup* pushforward reduction",a,a_sumcheck_driver,70000,1
2048,1,4,"Compute output bit evals",d,d_evals,3239625,1
2048,1,4,"Prepare witness",d,d_witness_prep,110333,1
2048,1,4,"Batched selector + C-root sumcheck",a,a_sumcheck_driver,42415,1
2048,1,4,"Combined GKR",a,a_sumcheck_driver,286036,1
2048,1,4,"Build power tables",d,d_witness_prep,710542,1
2048,1,4,"Regather per-limb evals",d,d_evals,5871333,1
2048,1,4,"Evaluate exponent root",d,d_evals,149125,1
2048,1,4,"Reed–Solomon Encode",d,d_ntt_encode,5584,2
2048,1,4,"Merkle commit",b1,b1_merkle_commit_glue,6251,2
2048,1,4,"build_g",d,d_shift_multilinear_build,10994042,2
2048,1,4,"hash_leaves",b1,b1_merkle_leaf_hash,5973625,5
2048,1,4,"e001_merkle_inner_nodes",b1,b1_merkle_inner_nodes,1576541,5
